ID,mfgName
1,Jaguar
2,Aston Martin
3,McLaren
4,Lewis Hamilton
5,Volkswagon
6,Mercedes-Benz
7,BMW
8,Audi
9,Mini
10,Porsche
11,Renault Sport
12,Peugeot
13,Citrogen
14,Alpine
15,Bugatti
16,Alfa Romeo
17,Ferrari
18,Lamborghini
19,Zagato
20,De Tomaso
21,Fiat
22,Abarth
23,Lancia
24,KTM
25,TAG Heuer
26,Toyota
27,Nissan
28,Honda
29,Mazda
30,Subaru
31,Mitsubishi Motors
32,Daihatsu
33,Lexus
34,Gran Turismo
35,Suzuki
36,Hyundai
37,Chevrolet
38,Ford
39,Dodge
40,Infiniti
41,Chaparral
42,Fittipaldi Motors
43,Shelby
44,Plymouth
