ID,name
1,Northern Isle Speedway
2,Dragon Tail
3,Colorado Springs
4,Autodrome Lago Maggiore
5,Kyoto Driving Park
6,Sardegna
7,Blue Moon Bay Speedway
8,Tsukuba Circuit
9,Brands Hatch
10,Tokyo Expressway
11,Willow Springs
12,BB Raceway
13,Suzuka Circuit
14,Autopolis International Racing Course
15,Circuit de Barcelona-Catalunya
16,Circuit de Sainte-Croix
17,Alsace - Village
18,Autoromo Nazionale Monza
19,Goodwood Motor Circuit
20,Mount Panorama Motor Racing Circuit
21,Red Bull Ring
22,Special Stage Route X
23,Fishermans Ranch
24,Circuit de Spa-Francochamps
25,Circuit de la Sarthe
26,Autodromo de Interlagos
27,Fuji International Speedway
28,Nurburgring
